title,author,isbn_13,format_code,location_code,notes
4:50 from Paddington,Agatha Christie,9788411090827,PB,F1-B09-S05,
4:50 from Paddington,Agatha Christie,9788411090827,ACD,F0-B20-S05,Audiobook (CD)
4:50 from Paddington,Agatha Christie,9788411090827,PB,F1-B09-S05,
4:50 from Paddington,Agatha Christie,9788411090827,ACD,F0-B20-S05,Audiobook (CD)
4th of July,James Patterson,9781600241031,PB,F2-B20-S10,Staff pick
4th of July,James Patterson,9781600241031,PB,F2-B20-S10,Staff pick
4th of July,James Patterson,9781600241031,PB,F2-B20-S10,Staff pick
4th of July,James Patterson,9781600241031,PB,F2-B20-S10,Staff pick
4th of July,James Patterson,9781600241031,PB,F2-B20-S10,Staff pick
7th Heaven,James Patterson,9781600240775,PB,F1-B25-S05,
7th Heaven,James Patterson,9781600240775,PB,F1-B25-S05,
7th Heaven,James Patterson,9781600240775,PB,F1-B25-S05,
7th Heaven,James Patterson,9781600240775,LP,F1-B21-S06,Large print edition
7th Heaven,James Patterson,9781600240775,ADIG,,Audiobook (digital)
[Relief of C. J. Baronett.],United States. Congress. Senate. Committee on Territories,,PB,F2-B17-S09,
A Caribbean Mystery,Agatha Christie,9780671756116,PB,F1-B02-S03,
A Caribbean Mystery,Agatha Christie,9780671756116,LP,F1-B05-S10,Large print edition
A Caribbean Mystery,Agatha Christie,9780671756116,LP,F1-B05-S10,Large print edition
A Caribbean Mystery,Agatha Christie,9780671756116,ACD,F0-B10-S09,Audiobook (CD)
A Case of Need,Michael Crichton,9780451039248,PB,F2-B12-S08,
A Case of Need,Michael Crichton,9780451039248,PB,F2-B12-S08,
A Case of Need,Michael Crichton,9780451039248,ADIG,,Audiobook (digital)
A Case of Need,Michael Crichton,9780451039248,ADIG,,Audiobook (digital)
A Clockwork Orange,Anthony Burgess,9780786246441,PB,F1-B25-S06,
A Clockwork Orange,Anthony Burgess,9780786246441,PB,F1-B25-S06,
A Clockwork Orange,Anthony Burgess,9780786246441,PB,F1-B25-S06,
A Clockwork Orange,Anthony Burgess,9780786246441,PB,F1-B25-S06,
A Good Girl's Guide to Murder,Holly Jackson,9780008621704,PB,F1-B15-S07,
A Good Girl's Guide to Murder,Holly Jackson,9780008621704,ACD,F0-B23-S07,Audiobook (CD)
A Kiss Before Dying,Ira Levin,9783190026869,PB,F2-B20-S09,Donated copy
A Kiss Before Dying,Ira Levin,9783190026869,EBK,,eBook edition
A Little Black Book,Graeme Jenkinson,9781096721567,PB,F2-B15-S08,
A Little Black Book,Graeme Jenkinson,9781096721567,PB,F2-B15-S08,
A Little Black Book,Graeme Jenkinson,9781096721567,LP,F1-B18-S04,Large print edition
A Little Black Book,Graeme Jenkinson,9781096721567,LP,F1-B18-S04,Large print edition
A Little Black Book,Graeme Jenkinson,9781096721567,ADIG,,Audiobook (digital)
A Little Princess,Frances Hodgson Burnett,9780590543071,PB,F1-B05-S03,
A Little Princess,Frances Hodgson Burnett,9780590543071,EBK,,eBook edition
A Long Way from Chicago,Richard Peck,9780807261620,PB,F1-B25-S09,
A Long Way from Chicago,Richard Peck,9780807261620,ACD,F0-B05-S08,Audiobook (CD)
A Murder Is Announced,Agatha Christie,9780007120673,PB,F2-B03-S04,Slightly damaged cover
A Murder Is Announced,Agatha Christie,9780007120673,ADIG,,Audiobook (digital)
A Pocket Full of Rye,Agatha Christie,9780007208524,PB,F2-B09-S10,
A Pocket Full of Rye,Agatha Christie,9780007208524,LP,F1-B04-S04,Large print edition
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781,PB,F1-B18-S09,
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781,PB,F1-B18-S09,
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781,PB,F1-B18-S09,
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781,PB,F1-B18-S09,
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,9798545845781,LP,F1-B03-S06,Large print edition
A Study in Scarlet,Arthur Conan Doyle,9781511815468,PB,F2-B21-S02,
A Study in Scarlet,Arthur Conan Doyle,9781511815468,LP,F1-B23-S03,Large print edition
A Study in Scarlet,Arthur Conan Doyle,9781511815468,PB,F2-B21-S02,
A Study in Scarlet,Arthur Conan Doyle,9781511815468,PB,F2-B21-S02,
A Study in Scarlet,Arthur Conan Doyle,9781511815468,PB,F2-B21-S02,
A Time to Kill,John Grisham,9780375433504,PB,F2-B01-S10,
A Time to Kill,John Grisham,9780375433504,LP,F1-B13-S09,Large print edition
A Time to Kill,John Grisham,9780375433504,PB,F2-B01-S10,
A Time to Kill,John Grisham,9780375433504,LP,F1-B13-S09,Large print edition
A Wonder Book for Girls and Boys,Nathaniel Hawthorne,9781434485731,PB,F2-B14-S09,
A Wonder Book for Girls and Boys,Nathaniel Hawthorne,9781434485731,EBK,,eBook edition
Abridgment of Murray's English Grammar,Lindley Murray,9780665514418,PB,F2-B08-S04,
Abridgment of Murray's English Grammar,Lindley Murray,9780665514418,ACD,F1-B22-S03,Audiobook (CD)
After the Funeral,Agatha Christie,9780671802936,PB,F1-B09-S09,
After the Funeral,Agatha Christie,9780671802936,ADIG,,Audiobook (digital)
After the Funeral,Agatha Christie,9780671802936,PB,F1-B09-S09,
After the Funeral,Agatha Christie,9780671802936,PB,F1-B09-S09,
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,9780140433173,PB,F1-B18-S04,
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,9780140433173,PB,F1-B18-S04,
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,9780140433173,PB,F1-B18-S04,
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,9780140433173,PB,F1-B18-S04,
All American Boys,Jason Reynolds,9783125799028,PB,F2-B02-S03,
All American Boys,Jason Reynolds,9783125799028,PB,F2-B02-S03,
All American Boys,Jason Reynolds,9783125799028,PB,F2-B02-S03,
All American Boys,Jason Reynolds,9783125799028,PB,F2-B02-S03,
American Dirt,Jeanine Cummins,9781250754080,PB,F1-B13-S06,
American Dirt,Jeanine Cummins,9781250754080,LP,F1-B27-S06,Large print edition
American Dirt,Jeanine Cummins,9781250754080,PB,F1-B13-S06,
American Dirt,Jeanine Cummins,9781250754080,PB,F1-B13-S06,
American Psycho,Bret Easton Ellis,9783942656412,PB,F2-B01-S09,
American Psycho,Bret Easton Ellis,9783942656412,PB,F2-B01-S09,
American Psycho,Bret Easton Ellis,9783942656412,PB,F2-B01-S09,
American Psycho,Bret Easton Ellis,9783942656412,ADIG,,Audiobook (digital)
An American Tragedy,Theodore Dreiser,9798531372765,PB,F2-B10-S07,
An American Tragedy,Theodore Dreiser,9798531372765,ACD,F1-B12-S02,Audiobook (CD)
An American Tragedy,Theodore Dreiser,9798531372765,PB,F2-B10-S07,
An American Tragedy,Theodore Dreiser,9798531372765,PB,F2-B10-S07,
An American Tragedy,Theodore Dreiser,9798531372765,PB,F2-B10-S07,
Anarchism and Other Essays,Emma Goldman,9781595473462,PB,F1-B17-S07,
Anarchism and Other Essays,Emma Goldman,9781595473462,ACD,F0-B12-S10,Audiobook (CD)
Anarchism and Other Essays,Emma Goldman,9781595473462,ADIG,,Audiobook (digital)
Anarchism and Other Essays,Emma Goldman,9781595473462,PB,F1-B17-S07,
And Then There Were None,Agatha Christie,9781542895125,PB,F2-B20-S07,
And Then There Were None,Agatha Christie,9781542895125,PB,F2-B20-S07,
